Manufacturer,Manufacturer_cat_no,Vendor,Description,price,quantity,units,link,category,vendor_cat_no,special_conditions,delivery_time,listprice,vat,class
Abnova,H00057663-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,USP29 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00057663-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00079882-R03-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,FLJ11806 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00079882-R03-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00079882-R04-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,FLJ11806 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00079882-R04-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00009690-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,UBE3C Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009690-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009705-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,ST18 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009705-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009726-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,ZNF646 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009726-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009878-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,C14orf92 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009878-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00010050-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SLC17A4 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00010050-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00010060-R04-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,ABCC9 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00010060-R04-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00010125-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,RASGRP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00010125-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00010194-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SDCCAG33 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00010194-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00010212-R04-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,DDX39 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00010212-R04-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079019-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,C22orf18 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079019-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079109-R07-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MAPKAP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079109-R07-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079109-R08-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MAPKAP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079109-R08-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079109-R09-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MAPKAP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079109-R09-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079109-R10-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MAPKAP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079109-R10-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079109-R11-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MAPKAP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079109-R11-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079109-R12-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MAPKAP1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079109-R12-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079132-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,LGP2 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079132-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079133-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,C20orf7 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079133-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079133-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,C20orf7 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00079133-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00079156-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PLEKHF1 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00079156-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00055186-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SLC25A36 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055186-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055190-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,NUDT11 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055190-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055191-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,NADSYN1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055191-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055192-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,DNAJC17 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055192-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055193-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PB1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055193-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055193-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PB1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055193-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055193-R03-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PB1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055193-R03-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055193-R04-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PB1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055193-R04-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00055173-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MRPS10 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00055173-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00083759-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,RBM30 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00083759-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00028982-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,FLVCR Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00028982-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00028982-R01V-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,FLVCR Validated Chimera RNAi,520.8,1,20 nmol,,RNAi/Chimeric RNA,157H00028982-R01V-0020,-20 C/Dry Ice,5,560,23,labware-plastics-other
Abnova,H00028985-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MCTS1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00028985-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009943-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,OXSR1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009943-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009946-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,CRYZL1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009946-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009946-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,CRYZL1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009946-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00009946-R03-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,CRYZL1 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00009946-R03-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00006500-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SKP1A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00006500-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00006502-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SKP2 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00006502-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00006502-R02-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SKP2 Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00006502-R02-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00006503-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SLA Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00006503-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00027164-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SALL3 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027164-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027166-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PX19 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027166-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027173-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SLC39A1 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027173-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027175-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,TUBG2 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027175-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027178-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,IL1F7 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027178-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027181-R02-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,SIGLEC8 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027181-R02-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027185-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,DISC1 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027185-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027185-R02-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,DISC1 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027185-R02-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00027185-R03-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,DISC1 Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00027185-R03-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R08-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R08-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R08-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R08-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R09-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R09-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R09-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R09-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R10-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R10-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R10-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R10-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R11-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R11-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R11-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R11-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R12-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R12-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R12-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R12-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R13-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R13-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R13-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R13-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R14-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R14-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R14-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R14-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R15-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R15-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R16-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R16-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R16-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R16-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R17-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R17-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R17-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R17-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R18-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R18-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R19-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R19-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R19-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R19-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005152-R20-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005152-R20-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005152-R20-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE9A Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005152-R20-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005153-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE1B Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005153-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005153-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDE1B Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005153-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005154-R01-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDGFA Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005154-R01-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
Abnova,H00005154-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDGFA Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005154-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005155-R01-0020,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDGFB Chimera RNAi,297.6,1,20 nmol,,RNAi/Chimeric RNA,157H00005155-R01-0020,-20 C/Dry Ice,5,320,23,labware-plastics-other
Abnova,H00005155-R02-0010,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PDGFB Chimera RNAi,251.1,1,10 nmol,,RNAi/Chimeric RNA,157H00005155-R02-0010,-20 C/Dry Ice,5,270,23,labware-plastics-other
